ID_Pedido;Unidades;Precio Unitario;Total Venta;Línea de Producto;Código de Producto;País;Territorio
2;30;95,7;2871;Motorcycles;S10_1678;USA;NA
5;34;81,35;2765,9;Motorcycles;S10_1678;France;EMEA
2;41;94,74;3884,34;Motorcycles;S10_1678;France;EMEA
6;45;83,26;3746,7;Motorcycles;S10_1678;USA;NA
14;0;100;0;Motorcycles;S10_1678;USA;NA
1;36;96,66;3479,76;Motorcycles;S10_1678;USA;NA
9;29;86,13;2497,77;Motorcycles;S10_1678;France;EMEA
1;48;100;5512,32;Motorcycles;S10_1678;Norway;EMEA
2;22;98,57;2168,54;Motorcycles;S10_1678;USA;NA
7;23;100;2333,12;Motorcycles;S10_1678;USA;NA
2;28;100;3188,64;Motorcycles;S10_1678;USA;NA
2;34;100;3676,76;Motorcycles;S10_1678;USA;NA
1;45;92,83;4177,35;Motorcycles;S10_1678;France;EMEA
6;36;100;4099,68;Motorcycles;S10_1678;USA;NA
9;23;100;2597,39;Motorcycles;S10_1678;Finland;EMEA
5;41;100;4394,38;Motorcycles;S10_1678;Norway;EMEA
1;46;94,74;4358,04;Motorcycles;S10_1678;USA;NA
1;42;100;4396,14;Motorcycles;S10_1678;USA;NA
9;41;100;7737,93;Motorcycles;S10_1678;Austria;EMEA
13;20;72,55;1451;Motorcycles;S10_1678;Australia;APAC
12;42;34,91;1466,22;Motorcycles;S10_1678;France;EMEA
4;84;76,36;6414,24;Motorcycles;S10_1678;USA;NA
7;48;100;4869,12;Motorcycles;S10_1678;UK;EMEA
2;66;100;7516,08;Motorcycles;S10_1678;Spain;EMEA
11;26;100;5404,62;Classic Cars;S10_1949;Norway;EMEA
1;29;100;7209,11;Classic Cars;S10_1949;Sweden;EMEA
11;38;100;7329,06;Classic Cars;S10_1949;Spain;EMEA
11;37;100;7374,1;Classic Cars;S10_1949;USA;NA
8;45;100;10993,5;Classic Cars;S10_1949;Singapore;Japan
1;21;100;4860,24;Classic Cars;S10_1949;USA;NA
4;34;100;8014,82;Classic Cars;S10_1949;Australia;APAC
8;23;100;5372,57;Classic Cars;S10_1949;USA;NA
11;42;100;7290,36;Classic Cars;S10_1949;France;EMEA
6;47;100;9064,89;Classic Cars;S10_1949;Canada;NA
3;35;100;6075,3;Classic Cars;S10_1949;USA;NA
2;29;100;6463,23;Classic Cars;S10_1949;USA;NA
9;34;100;6120,34;Classic Cars;S10_1949;USA;NA
6;32;100;7680,64;Classic Cars;S10_1949;Japan;Japan
9;21;100;4905,39;Classic Cars;S10_1949;Australia;APAC
2;34;100;8014,82;Classic Cars;S10_1949;Italy;EMEA
11;37;100;7136,19;Classic Cars;S10_1949;Sweden;EMEA
6;47;100;10172,7;Classic Cars;S10_1949;France;EMEA
3;48;100;11623,7;Classic Cars;S10_1949;USA;NA
1;40;100;6000,4;Classic Cars;S10_1949;USA;NA
3;26;100;3003;Classic Cars;S10_1949;USA;NA
1;30;100;3944,7;Classic Cars;S10_1949;Australia;APAC
10;32;100;5691,84;Classic Cars;S10_1949;USA;NA
2;41;100;4514,92;Classic Cars;S10_1949;USA;NA
3;36;100;8254,8;Classic Cars;S10_1949;USA;NA
4;48;100;4833,12;Classic Cars;S10_1949;Australia;APAC
9;46;100;8280,46;Classic Cars;S10_1949;Canada;NA
6;50;100;12001;Classic Cars;S10_1949;Spain;EMEA
5;39;99,91;3896,49;Motorcycles;S10_2016;USA;NA
3;29;96,34;2793,86;Motorcycles;S10_2016;Australia;APAC
5;27;100;3307,77;Motorcycles;S10_2016;France;EMEA
9;37;100;5192,95;Motorcycles;S10_2016;USA;NA
17;37;100;5016,83;Motorcycles;S10_2016;USA;NA
4;27;100;3660,93;Motorcycles;S10_2016;USA;NA
12;42;100;4695,6;Motorcycles;S10_2016;France;EMEA
4;38;96,34;3660,92;Motorcycles;S10_2016;Norway;EMEA
5;24;100;3025,92;Motorcycles;S10_2016;USA;NA
2;23;100;3009,09;Motorcycles;S10_2016;Japan;Japan
4;47;100;5422,39;Motorcycles;S10_2016;Australia;APAC
1;22;100;2852,08;Motorcycles;S10_2016;USA;NA
5;44;100;5756,52;Motorcycles;S10_2016;USA;NA
5;40;100;4472;Motorcycles;S10_2016;USA;NA
4;22;100;2904,44;Motorcycles;S10_2016;France;EMEA
9;47;100;6484,59;Motorcycles;S10_2016;USA;NA
1;39;96,34;3757,26;Motorcycles;S10_2016;France;EMEA
2;34;100;4043,96;Motorcycles;S10_2016;USA;NA
4;45;100;5566,5;Motorcycles;S10_2016;USA;NA
2;20;100;3176;Motorcycles;S10_2016;USA;NA
4;40;68,92;2756,8;Motorcycles;S10_2016;Japan;Japan
8;26;51,15;1329,9;Motorcycles;S10_2016;Australia;APAC
5;78;100;10576,02;Motorcycles;S10_2016;Australia;APAC
5;100;44,51;4451;Motorcycles;S10_2016;USA;NA
1;90;100;11667,6;Motorcycles;S10_2016;France;EMEA
5;45;100;5887,35;Motorcycles;S10_2016;Spain;EMEA
4;27;100;6065,55;Motorcycles;S10_4698;USA;NA
2;46;100;9264,86;Motorcycles;S10_4698;Australia;APAC
4;31;100;7023,98;Motorcycles;S10_4698;France;EMEA
8;33;100;5176,38;Motorcycles;S10_4698;USA;NA
16;22;100;4132,7;Motorcycles;S10_4698;USA;NA
3;20;100;4183;Motorcycles;S10_4698;USA;NA
11;41;100;8892,9;Motorcycles;S10_4698;France;EMEA
3;45;100;8714,7;Motorcycles;S10_4698;Norway;EMEA
4;49;100;8065,89;Motorcycles;S10_4698;USA;NA
1;34;100;6123,4;Motorcycles;S10_4698;Japan;Japan
3;49;100;9774,03;Motorcycles;S10_4698;Australia;APAC
9;39;100;7023,9;Motorcycles;S10_4698;USA;NA
4;43;100;7078,23;Motorcycles;S10_4698;USA;NA
4;41;100;8336,94;Motorcycles;S10_4698;USA;NA
3;36;100;6901,92;Motorcycles;S10_4698;France;EMEA
8;27;100;5438,07;Motorcycles;S10_4698;USA;NA
11;29;100;6683,34;Motorcycles;S10_4698;Finland;EMEA
1;20;100;4570,4;Motorcycles;S10_4698;USA;NA
3;37;100;7667,14;Motorcycles;S10_4698;USA;NA
3;26;100;5868,2;Motorcycles;S10_4698;USA;NA
3;39;76,67;2990,13;Motorcycles;S10_4698;Japan;Japan
4;44;100;7328,2;Motorcycles;S10_4698;USA;NA
1;44;100;7668,76;Motorcycles;S10_4698;Australia;APAC
7;42;86,77;3644,34;Motorcycles;S10_4698;USA;NA
9;132;100;23773,2;Motorcycles;S10_4698;UK;EMEA
4;56;100;9218,16;Motorcycles;S10_4698;Spain;EMEA
2;50;100;7208;Classic Cars;S10_4757;Denmark;EMEA
11;46;100;5004,8;Classic Cars;S10_4757;Austria;EMEA
2;33;100;4398,24;Classic Cars;S10_4757;UK;EMEA
15;49;100;5597,76;Classic Cars;S10_4757;USA;NA
13;32;100;4526,08;Classic Cars;S10_4757;Finland;EMEA
9;44;100;5924,16;Classic Cars;S10_4757;Sweden;EMEA
12;24;100;3492,48;Classic Cars;S10_4757;France;EMEA
9;26;100;3854,24;Classic Cars;S10_4757;UK;EMEA
6;45;100;5324,4;Classic Cars;S10_4757;Spain;EMEA
8;39;100;5197,92;Classic Cars;S10_4757;USA;NA
12;49;100;5997,6;Classic Cars;S10_4757;USA;NA
3;20;100;2910,4;Classic Cars;S10_4757;USA;NA
1;27;100;3378,24;Classic Cars;S10_4757;Canada;NA
4;30;100;3508,8;Classic Cars;S10_4757;Belgium;EMEA
6;25;100;2992;Classic Cars;S10_4757;Canada;NA
1;24;100;3427,2;Classic Cars;S10_4757;USA;NA
9;22;100;2692,8;Classic Cars;S10_4757;USA;NA
17;33;100;4128,96;Classic Cars;S10_4757;UK;EMEA
6;47;64,93;3051,71;Classic Cars;S10_4757;Norway;EMEA
8;25;48,05;1201,25;Classic Cars;S10_4757;USA;NA
5;26;75,47;1962,22;Classic Cars;S10_4757;Spain;EMEA
6;48;54,68;2624,64;Classic Cars;S10_4757;France;EMEA
3;39;100;4046,25;Classic Cars;S10_4757;Finland;EMEA
4;34;100;4846,7;Classic Cars;S10_4757;USA;NA
2;32;100;3370,56;Classic Cars;S10_4757;France;EMEA
9;128;100;19322,88;Classic Cars;S10_4757;USA;NA
3;38;100;5529,76;Classic Cars;S10_4757;USA;NA
4;42;100;5398,26;Classic Cars;S10_4962;Norway;EMEA
